ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
3903409,HL279084,04/06/2005 09:36:24 PM,031XX W SCHOOL ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,true,true,1733,017,33,21,26
3903464,HL279276,04/07/2005 12:01:00 AM,019XX N DRAKE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1422,014,26,22,08B
3903603,HL277206,04/06/2005 02:31:11 AM,003XX W 95TH ST,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,RESIDENCE,false,false,0634,006,21,49,14
3903688,HK649956,09/26/2004 09:30:00 PM,072XX S DOBSON AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,0324,003,5,69,06
3904044,HL190410,02/19/2005 12:50:00 PM,052XX N LINCOLN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,HOTEL/MOTEL,true,false,2011,020,40,4,18
3904070,HL191489,02/20/2005 01:04:52 AM,002XX S CANAL ST,2025,NARCOTICS,POSS: HALLUCINOGENS,OTHER RAILROAD PROP / TRAIN DEPOT,true,false,0111,001,2,28,18
3904754,HL280667,03/29/2005 09:29:00 AM,081XX S DREXEL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0631,006,8,44,26
3905527,HL279981,04/07/2005 12:00:00 PM,026XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1432,014,1,22,06
3905617,HL281561,04/08/2005 05:38:00 AM,018XX W DEVON AVE,0460,BATTERY,SIMPLE,GAS STATION,false,false,2433,024,50,2,08B
3905843,HL279680,04/07/2005 07:35:00 AM,063XX S CAMPBELL AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,true,0825,008,15,66,26
3905860,HL281047,04/07/2005 08:01:33 PM,054XX W FULTON ST,0460,BATTERY,SIMPLE,ALLEY,false,false,1523,015,28,25,08B
3905923,HL281000,04/07/2005 07:27:32 PM,010XX N PARKSIDE AVE,0810,THEFT,OVER $500,APARTMENT,false,false,1511,015,29,25,06
3905974,HL279612,04/06/2005 11:00:00 PM,046XX W PETERSON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1711,017,39,12,14
3906098,HL278081,04/06/2005 11:45:00 AM,077XX S PHILLIPS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0421,004,7,43,05
3906173,HL205658,02/27/2005 07:08:00 PM,015XX S PULASKI RD,2026,NARCOTICS,POSS: PCP,STREET,true,false,1012,010,24,29,18
3906460,HL205169,02/27/2005 02:00:00 PM,006XX N LAMON AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1532,015,28,25,18
3906469,HL278479,03/27/2005 04:30:00 PM,001XX E ONTARIO ST,5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,RESTAURANT,false,false,1834,018,42,8,17
3906567,HL281587,04/08/2005 06:55:10 AM,054XX W FERDINAND ST,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,1523,015,28,25,06
3906781,HL279705,04/03/2005 01:00:00 PM,009XX E 47TH ST,0890,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,false,false,2123,002,4,39,06
3906798,HL281132,04/07/2005 08:49:43 PM,083XX S BOND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0424,004,10,46,14
3906946,HL250992,03/31/2005 10:51:00 AM,010XX N AVERS AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,true,false,1112,011,27,23,18
3906984,HL280537,04/07/2005 04:35:00 PM,037XX S WABASH AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,true,0211,002,3,35,04A
3907886,HL283386,04/08/2005 08:00:00 PM,061XX S LAFLIN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0713,007,16,67,14
3908445,HL281621,04/08/2005 07:15:00 AM,003XX S KILBOURN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1131,011,24,26,08A
3908653,HL277931,04/06/2005 12:00:00 PM,013XX W GARFIELD BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,0713,007,16,67,06
3908833,HL278565,04/06/2005 05:44:13 PM,071XX S PAULINA ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0735,007,17,67,08B
3909014,HL284175,04/09/2005 05:50:00 AM,002XX N CANAL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1212,012,42,28,14
3909088,HL284232,04/08/2005 10:00:00 PM,115XX S CARPENTER ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0524,005,34,53,26
3909600,HL282130,04/08/2005 12:12:00 PM,014XX N LEAMINGTON AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,"SCHOOL, PUBLIC, BUILDING",false,false,2533,025,37,25,26
3909640,HL272791,04/03/2005 11:17:00 PM,050XX N LINCOLN AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,true,false,2031,020,47,4,02
3909799,HL281892,04/06/2005 12:00:00 PM,018XX S SPRINGFIELD AVE,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,false,false,1014,010,24,29,06
3909835,HL284890,04/08/2005 08:00:00 PM,077XX S PEORIA ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0621,006,17,71,06
3909926,HL285749,04/09/2005 11:30:00 PM,076XX S CICERO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,0833,008,13,65,14
3909948,HL285628,04/09/2005 09:45:00 PM,007XX E 134TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0533,005,9,54,05
3909969,HL286099,04/09/2005 09:00:00 AM,100XX S PRAIRIE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0511,005,9,49,05
3910432,HL278107,04/06/2005 01:40:00 PM,059XX W HIRSCH ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2531,025,29,25,08B
3910485,HL287024,04/08/2005 11:00:00 AM,020XX W CRYSTAL ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1424,014,1,24,26
3910554,HL287410,04/02/2005 07:00:00 PM,015XX N LA SALLE DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,1821,018,43,8,26
3910653,HL287516,04/11/2005 01:00:00 AM,071XX S WESTERN AVE,041A,BATTERY,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0832,008,18,66,04B
3910906,HL286289,04/10/2005 01:29:17 PM,0000X N LAMON AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1533,015,28,25,24
3911091,HL285981,04/10/2005 07:10:00 AM,045XX N ELSTON AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1722,017,45,16,06
3911355,HL276191,04/05/2005 04:50:00 PM,029XX N ALLEN AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,false,false,1412,014,35,21,07
3911434,HL287842,04/10/2005 11:30:00 AM,028XX W TOUHY AVE,0820,THEFT,$500 AND UNDER,"SCHOOL, PRIVATE, BUILDING",false,false,2411,024,50,2,06
3911638,HL279645,02/03/2005 08:10:00 AM,052XX S INGLESIDE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,2131,002,4,41,26
3911709,HL201407,02/25/2005 12:54:20 PM,065XX N NEWGARD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2432,024,40,1,18
3911885,HL285903,04/10/2005 05:15:00 AM,006XX N CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,1832,018,42,8,26
3911961,HL283794,03/31/2005 11:35:00 PM,003XX E 45TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER COMMERCIAL TRANSPORTATION,false,false,0222,002,3,38,14
3912077,HL288162,04/10/2005 09:00:00 PM,021XX N MANGO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2515,025,29,19,26
3912215,HL173666,02/10/2005 01:12:05 PM,063XX S DR MARTIN LUTHER KING JR DR,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,RESIDENCE PORCH/HALLWAY,true,false,0312,003,20,69,18
3912301,HL282520,04/08/2005 03:20:00 PM,079XX S DAMEN AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,0611,006,18,71,26
3912383,HL288417,04/11/2005 01:50:00 PM,066XX S BELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0832,008,15,66,26
3912479,HL286028,04/10/2005 07:40:00 AM,082XX S PAULINA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0614,006,18,71,08B
3913089,HL289194,04/11/2005 07:55:00 PM,012XX N HUMBOLDT DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1423,014,26,24,18
3913173,HL289553,04/12/2005 12:05:00 AM,001XX E 119TH PL,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,APARTMENT,false,false,0532,005,9,53,26
3913339,HL289726,04/12/2005 01:00:00 AM,068XX S CORNELL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0332,003,5,43,06
3913345,HL289215,04/11/2005 08:34:34 PM,053XX W MADISON ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,1522,015,29,25,15
3913393,HL285648,04/10/2005 01:01:32 AM,009XX W 85TH ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),true,false,0613,006,21,71,07
3913418,HL260158,03/28/2005 03:10:00 PM,020XX W ROSCOE ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1913,019,32,5,06
3913562,HL201559,02/25/2005 01:36:00 PM,066XX N ASHLAND AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,true,false,2432,024,40,1,18
3913638,HL281482,04/07/2005 10:30:00 PM,020XX S ROCKWELL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1023,010,28,30,08B
3913729,HL278242,04/06/2005 02:50:00 PM,021XX W COULTER ST,0460,BATTERY,SIMPLE,RESIDENCE,true,true,1034,010,25,31,08B
3913773,HL289706,04/12/2005 05:00:00 AM,0000X E 110TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0513,005,9,49,14
3913803,HL288293,04/02/2005 07:00:00 AM,033XX W OGDEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,POLICE FACILITY/VEH PARKING LOT,false,false,1024,010,24,29,14
3913849,HL288530,04/11/2005 02:37:26 PM,075XX S SOUTH SHORE DR,1310,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",false,false,0421,004,7,43,14
3913900,HL287541,04/11/2005 01:17:00 AM,020XX W 51ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,0915,009,16,61,15
3914235,HL287860,04/10/2005 08:00:00 AM,093XX S EGGLESTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2223,022,21,73,14
3914501,HL283583,04/09/2005 12:15:00 AM,030XX W BELLE PLAINE AVE,0810,THEFT,OVER $500,APARTMENT,false,false,1724,017,33,16,06
3914577,HL287728,04/11/2005 08:10:00 AM,041XX W WASHINGTON BLVD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,true,false,1115,011,28,26,05
3914586,HL288316,04/11/2005 01:00:00 PM,107XX S PRAIRIE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,true,false,0513,005,9,49,04B
3914806,HL202117,02/25/2005 07:25:00 PM,052XX N WINTHROP AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2023,020,48,77,18
3914896,HL289986,04/12/2005 09:45:00 AM,063XX W FULLERTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2512,025,29,19,26
3915336,HL290866,04/04/2005 11:00:00 AM,102XX S CALUMET AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0511,005,9,49,11
3915692,HL291204,04/12/2005 09:30:00 AM,054XX W SCHUBERT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,2514,025,30,19,11
3915867,HL289260,04/11/2005 08:30:50 PM,008XX W MONTROSE AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,OTHER,false,false,2313,019,46,3,14
3915893,HL289427,04/11/2005 10:20:00 PM,062XX S KEDZIE AVE,0330,ROBBERY,AGGRAVATED,STREET,false,false,0823,008,15,66,03
3916051,HL285788,04/10/2005 02:47:48 AM,018XX S KARLOV AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1012,010,24,29,06
3916116,HL283194,04/08/2005 07:30:00 AM,013XX W ESTES AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,2423,024,49,1,05
3916172,HL203326,02/26/2005 11:08:00 AM,079XX S MARQUETTE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0422,004,7,46,18
3916459,HL291429,04/12/2005 09:05:46 PM,073XX N SHERIDAN RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2423,024,49,1,14
3916523,HL288458,04/11/2005 02:20:23 PM,053XX S WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0911,009,14,63,08B
3916565,HL288919,04/11/2005 04:50:00 PM,061XX N WINTHROP AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2433,024,48,77,08B
3916702,HL286616,04/09/2005 10:50:00 PM,080XX S ST LAWRENCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0631,006,6,44,07
3916940,HL173946,02/10/2005 05:02:00 PM,056XX W FULTON ST,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,true,false,1512,015,29,25,18
3917132,HL005166,04/13/2005 04:10:00 AM,038XX N TROY ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,true,false,1733,017,33,16,26
3917248,HL291936,04/11/2005 05:30:00 PM,003XX N FRANCISCO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1331,012,27,27,07
3917461,HL283102,04/08/2005 07:00:00 PM,057XX N NEWARK AVE,0560,ASSAULT,SIMPLE,ALLEY,false,false,1612,016,41,10,08A
3917606,HL292416,04/11/2005 09:00:00 AM,081XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0631,006,6,44,14
3917712,HL208548,03/01/2005 10:00:20 AM,075XX S CONSTANCE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,0414,004,8,43,18
3917798,HL290125,04/12/2005 10:33:00 AM,081XX S COTTAGE GROVE AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CLEANING STORE,false,false,0631,006,8,44,11
3919041,HL291343,04/12/2005 08:33:03 PM,050XX W CONGRESS PKWY,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1533,015,29,25,14
3919112,HL202287,02/25/2005 08:40:00 PM,026XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1125,011,2,27,16
3919144,HL191213,02/19/2005 10:24:10 PM,039XX W 63RD PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0823,008,13,65,18
3919211,HL005178,04/13/2005 06:00:00 AM,018XX N KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1421,014,26,22,08B
3919911,HL293722,04/14/2005 12:33:26 AM,029XX S DEARBORN ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,2113,001,3,35,26
3920054,HL203190,02/26/2005 10:50:00 AM,041XX S ARCHER AVE,2012,NARCOTICS,MANU/DELIVER:COCAINE,STREET,true,false,0912,009,14,58,18
3920736,HL294742,04/14/2005 02:05:00 PM,013XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1433,014,1,24,06
3921510,HL294127,02/25/2005 12:00:00 AM,025XX E 75TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0421,004,7,43,05
3921614,HL290488,04/12/2005 02:00:00 PM,066XX S UNION AVE,0460,BATTERY,SIMPLE,STREET,false,false,0723,007,6,68,08B
3921623,HL290572,04/12/2005 12:45:00 PM,056XX S HALSTED ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0711,007,20,68,08B
3921657,HL289523,04/11/2005 11:35:28 PM,076XX N BOSWORTH AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,2422,024,49,1,08A
3922353,HL292141,04/13/2005 11:15:00 AM,061XX S EBERHART AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,ALLEY,true,false,0313,003,20,42,04A
3922444,HL211110,01/28/2005 10:30:00 PM,019XX W IRVING PARK RD,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,true,false,1923,019,47,5,22
3922756,HL292750,04/13/2005 03:00:00 PM,070XX S DORCHESTER AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,true,false,0321,003,5,43,26
3923779,HL297292,04/15/2005 12:00:00 PM,045XX S WOODLAWN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2123,002,4,39,11
3923930,HL297357,04/15/2005 06:40:00 PM,021XX W DIVISION ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1312,012,32,24,18
3924009,HL297902,04/15/2005 05:00:00 PM,030XX S ARCHER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,0923,009,11,60,14
3924051,HL297953,04/15/2005 10:00:00 PM,0000X W 115TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0522,005,34,53,06
3924124,HL296231,04/14/2005 10:30:00 PM,022XX S STATE ST,0610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,false,false,0134,001,3,33,05
3924132,HL297228,03/23/2005 01:30:00 PM,020XX S MICHIGAN AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0134,001,2,33,17
3924164,HL216859,03/05/2005 12:40:00 PM,078XX S PAULINA ST,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,SIDEWALK,true,false,0611,006,17,71,18
3924498,HL297998,04/16/2005 12:40:00 AM,066XX S KEDZIE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,true,false,0831,008,15,66,04A
3924509,HL297973,04/16/2005 12:20:00 AM,023XX W MONROE ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1211,012,2,28,04A
3924734,HL205928,02/27/2005 10:15:00 PM,063XX S CALUMET AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0312,003,20,69,18
3924787,HL206009,02/28/2005 12:10:00 AM,051XX S WESTERN AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0915,009,16,63,18
3924998,HL295906,04/15/2005 12:51:00 AM,035XX W WALNUT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,false,false,1123,011,28,27,14
3925092,HL297516,04/15/2005 08:24:51 PM,111XX S STATE ST,0460,BATTERY,SIMPLE,GAS STATION,false,false,0522,005,34,49,08B
3925186,HL298687,04/14/2005 12:00:00 PM,041XX N LINCOLN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,1912,019,47,5,14
3925536,HL300211,04/17/2005 03:40:00 AM,014XX N SPAULDING AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,false,false,1422,014,26,23,15
3925554,HL300073,04/17/2005 01:11:52 AM,081XX S CORNELL AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,true,false,0414,004,8,45,24
